Accession,Organism_Name,Species,MPXV_Lineage,Clade,Isolate,Geo_Location,Host,Collection_Date,Release_Date
OR464195.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.12,IIb,MPXV_USA_2022_NY0047,USA: NY,Homo sapiens,2022-08,8/27/2023
OR464196.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV_USA_2022_NY0048,USA: NY,Homo sapiens,2022-08,8/27/2023
OR464197.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.3,IIb,MPXV_USA_2022_NY0049,USA: NY,Homo sapiens,2022-08,8/27/2023
OR464198.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.7,IIb,MPXV_USA_2022_NY0050,USA: NY,Homo sapiens,2022-08,8/27/2023
OR464199.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.18,IIb,MPXV_USA_2022_NY0051,USA: NY,Homo sapiens,2022-08,8/27/2023
OR464200.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV_USA_2022_NY0052,USA: NY,Homo sapiens,2022-08,8/27/2023
OR464201.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.10,IIb,MPXV_USA_2022_NY0053,USA: NY,Homo sapiens,2022-08,8/27/2023
OR464202.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.3,IIb,MPXV_USA_2022_NY0054,USA: NY,Homo sapiens,2022-08,8/27/2023
OR464203.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.12,IIb,MPXV_USA_2022_NY0055,USA: NY,Homo sapiens,2022-08,8/27/2023
OR464204.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_OH0008,USA: OH,Homo sapiens,2022-11,8/27/2023
OR464205.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.12,IIb,MPXV_USA_2022_PA0003,USA: PA,Homo sapiens,2022-08,8/27/2023
OR464206.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.11,IIb,MPXV_USA_2022_TN0020,USA: TN,Homo sapiens,2022-12,8/27/2023
OR464207.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV_USA_2022_TX0054,USA: TX,Homo sapiens,2022-12,8/27/2023
OR464208.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV_USA_2022_TX0055,USA: TX,Homo sapiens,2022-12,8/27/2023
OR464209.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0056,USA: TX,Homo sapiens,2022-12,8/27/2023
OR464210.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV_USA_2022_TX0057,USA: TX,Homo sapiens,2022-12,8/27/2023
OR464211.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV_USA_2022_TX0058,USA: TX,Homo sapiens,2022-12,8/27/2023
OR464212.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV_USA_2022_WA0018,USA: WA,Homo sapiens,2022-12,8/27/2023
OR464213.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.4,IIb,MPXV_USA_2022_CA0004,USA: CA,Homo sapiens,2022-08,8/27/2023
OR464214.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV_USA_2022_CA0008,USA: CA,Homo sapiens,2022-08,8/27/2023
OR464215.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.10,IIb,MPXV_USA_2022_DC0006,USA: DC,Homo sapiens,2022-08,8/27/2023
OR464216.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.7,IIb,MPXV_USA_2022_KS0007,USA: KS,Homo sapiens,2022-11,8/27/2023
OR464217.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_MA0003,USA: MA,Homo sapiens,2022-08,8/27/2023
OR464218.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_MI0013,USA: MI,Homo sapiens,2022-10,8/27/2023
OR464219.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV_USA_2022_MI0014,USA: MI,Homo sapiens,2022-11,8/27/2023
OR459775.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV-ROK-P002-2022,South Korea,Homo sapiens,9/2/2022,8/26/2023
OR459776.1,Monkeypox virus,Orthopoxvirus monkeypox,H.1,IIb,MPXV-ROK-P003-2022,South Korea,Homo sapiens,11/15/2022,8/26/2023
OR459777.1,Monkeypox virus,Orthopoxvirus monkeypox,H.1,IIb,MPXV-ROK-P004-2022,South Korea,Homo sapiens,11/22/2022,8/26/2023
OR459778.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P005-2023,South Korea,Homo sapiens,3/13/2023,8/26/2023
OR459779.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P006-2023,South Korea,Homo sapiens,4/6/2023,8/26/2023
OR459780.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P007-2023,South Korea,Homo sapiens,4/10/2023,8/26/2023
OR459781.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P008-2023,South Korea,Homo sapiens,4/11/2023,8/26/2023
OR459782.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P009-2023,South Korea,Homo sapiens,4/12/2023,8/26/2023
OR459783.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P010-2023,South Korea,Homo sapiens,4/13/2023,8/26/2023
OR459784.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P011-2023,South Korea,Homo sapiens,4/14/2023,8/26/2023
OR459785.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P012-2023,South Korea,Homo sapiens,4/15/2023,8/26/2023
OR459786.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P013-2023,South Korea,Homo sapiens,4/15/2023,8/26/2023
OR459787.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P014-2023,South Korea,Homo sapiens,4/17/2023,8/26/2023
OR459788.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P015-2023,South Korea,Homo sapiens,4/18/2023,8/26/2023
OR459789.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P016-2023,South Korea,Homo sapiens,4/18/2023,8/26/2023
OR459790.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P017-2023,South Korea,Homo sapiens,4/18/2023,8/26/2023
OR459791.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P018-2023,South Korea,Homo sapiens,4/18/2023,8/26/2023
OR459792.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P019-2023,South Korea,Homo sapiens,4/19/2023,8/26/2023
OR459793.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P020-2023,South Korea,Homo sapiens,4/19/2023,8/26/2023
OR459794.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P021-2023,South Korea,Homo sapiens,4/21/2023,8/26/2023
OR459795.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P022-2023,South Korea,Homo sapiens,4/21/2023,8/26/2023
OR459796.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P024-2023,South Korea,Homo sapiens,4/21/2023,8/26/2023
OR459797.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P026-2023,South Korea,Homo sapiens,4/22/2023,8/26/2023
OR459798.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P027-2023,South Korea,Homo sapiens,4/22/2023,8/26/2023
OR459799.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P028-2023,South Korea,Homo sapiens,4/22/2023,8/26/2023
OR459800.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P029-2023,South Korea,Homo sapiens,4/23/2023,8/26/2023
OR459801.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P030-2023,South Korea,Homo sapiens,4/23/2023,8/26/2023
OR459802.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P032-2023,South Korea,Homo sapiens,4/25/2023,8/26/2023
OR459803.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P033-2023,South Korea,Homo sapiens,4/25/2023,8/26/2023
OR459804.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV-ROK-P034-2023,South Korea,Homo sapiens,4/25/2023,8/26/2023
OR449757.1,Monkeypox virus,Orthopoxvirus monkeypox,,unassigned,La_Farfana_July_2022_C1,Chile: La Farfana,,2022-07,8/23/2023
OR449758.1,Monkeypox virus,Orthopoxvirus monkeypox,,unassigned,La_Farfana_July_2022_C3,Chile: La Farfana,,2022-07,8/23/2023
OR449759.1,Monkeypox virus,Orthopoxvirus monkeypox,,unassigned,La_Farfana_August_2022_C4,Chile: La Farfana,,2022-08,8/23/2023
OR449760.1,Monkeypox virus,Orthopoxvirus monkeypox,,unassigned,La_Farfana_August_2022_C9,Chile: La Farfana,,2022-08,8/23/2023
OR449761.1,Monkeypox virus,Orthopoxvirus monkeypox,,unassigned,La_Farfana_August 2022_C10,Chile: La Farfana,,2022-08,8/23/2023
OR449762.1,Monkeypox virus,Orthopoxvirus monkeypox,,unassigned,El_Trebal_August_2022_C11,Chile: El Trebal,,2022-08,8/23/2023
OR449763.1,Monkeypox virus,Orthopoxvirus monkeypox,,unassigned,El_Trebal_August_2022_C12,Chile: El Trebal,,2022-08,8/23/2023
OR449764.1,Monkeypox virus,Orthopoxvirus monkeypox,,unassigned,El_Trebal_August_2022_C14,Chile: El Trebal,,2022-08,8/23/2023
OR449765.1,Monkeypox virus,Orthopoxvirus monkeypox,,unassigned,El_Trebal_August_2022_C15,Chile: El Trebal,,2022-08,8/23/2023
OR455100.1,Monkeypox virus,Orthopoxvirus monkeypox,H.2,IIb,MpxV/human/USA/WA-UW-081251/2023,USA: WA,Homo sapiens,2023-08,8/23/2023
OR449304.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.8,IIb,MPXV/Germany/2022/RKI1018,Germany,Homo sapiens,2022-06,8/22/2023
OR449305.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/RKI1019,Germany,Homo sapiens,2022-06,8/22/2023
OR449306.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV/Germany/2023/RKI1020,Germany,Homo sapiens,2023-07,8/22/2023
OR449307.1,Monkeypox virus,Orthopoxvirus monkeypox,E.2,IIb,MPXV/Germany/2023/ON/RKI1021,Germany,Homo sapiens,2023-08,8/22/2023
OR449618.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI905,Germany,Homo sapiens,2022-06,8/22/2023
OR449619.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI906,Germany,Homo sapiens,2022-06,8/22/2023
OR449620.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI907,Germany,Homo sapiens,2022-06,8/22/2023
OR449621.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI908,Germany,Homo sapiens,2022-06,8/22/2023
OR449622.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI909,Germany,Homo sapiens,2022-06,8/22/2023
OR449623.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI910,Germany,Homo sapiens,2022-06,8/22/2023
OR449624.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.5,IIb,MPXV/Germany/2022/ON/RKI911,Germany,Homo sapiens,2022-06,8/22/2023
OR449625.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.8,IIb,MPXV/Germany/2022/ON/RKI912,Germany,Homo sapiens,2022-06,8/22/2023
OR449626.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI913,Germany,Homo sapiens,2022-06,8/22/2023
OR449627.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI914,Germany,Homo sapiens,2022-06,8/22/2023
OR449628.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.5,IIb,MPXV/Germany/2022/ON/RKI915,Germany,Homo sapiens,2022-06,8/22/2023
OR449629.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI1016,Germany,Homo sapiens,2022-07,8/22/2023
OR449630.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.7,IIb,MPXV/Germany/2022/ON/RKI916,Germany,Homo sapiens,2022-06,8/22/2023
OR449631.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.7,IIb,MPXV/Germany/2022/ON/RKI917,Germany,Homo sapiens,2022-06,8/22/2023
OR449632.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI918,Germany,Homo sapiens,2022-06,8/22/2023
OR449633.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.3,IIb,MPXV/Germany/2022/ON/RKI919,Germany,Homo sapiens,2022-06,8/22/2023
OR449634.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI920,Germany,Homo sapiens,2022-06,8/22/2023
OR449635.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI921,Germany,Homo sapiens,2022-06,8/22/2023
OR449636.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI922,Germany,Homo sapiens,2022-06,8/22/2023
OR449637.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI923,Germany,Homo sapiens,2022-06,8/22/2023
OR449638.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI924,Germany,Homo sapiens,2022-06,8/22/2023
OR449639.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI925,Germany,Homo sapiens,2022-06,8/22/2023
OR449640.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI926,Germany,Homo sapiens,2022-06,8/22/2023
OR449641.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI927,Germany,Homo sapiens,2022-06,8/22/2023
OR449642.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI928,Germany,Homo sapiens,2022-06,8/22/2023
OR449643.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI929,Germany,Homo sapiens,2022-06,8/22/2023
OR449644.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.5,IIb,MPXV/Germany/2022/ON/RKI930,Germany,Homo sapiens,2022-06,8/22/2023
OR449645.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI931,Germany,Homo sapiens,2022-06,8/22/2023
OR449646.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.5,IIb,MPXV/Germany/2022/ON/RKI932,Germany,Homo sapiens,2022-06,8/22/2023
OR449647.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.5,IIb,MPXV/Germany/2022/ON/RKI933,Germany,Homo sapiens,2022-06,8/22/2023
OR449648.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI934,Germany,Homo sapiens,2022-06,8/22/2023
OR449649.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI935,Germany,Homo sapiens,2022-06,8/22/2023
OR449650.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI936,Germany,Homo sapiens,2022-06,8/22/2023
OR449651.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI937,Germany,Homo sapiens,2022-06,8/22/2023
OR449652.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI938,Germany,Homo sapiens,2022-06,8/22/2023
OR449653.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI939,Germany,Homo sapiens,2022-06,8/22/2023
OR449654.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI940,Germany,Homo sapiens,2022-06,8/22/2023
OR449655.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI941,Germany,Homo sapiens,2022-06,8/22/2023
OR449656.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI942,Germany,Homo sapiens,2022-06,8/22/2023
OR449657.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI943,Germany,Homo sapiens,2022-06,8/22/2023
OR449658.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI944,Germany,Homo sapiens,2022-06,8/22/2023
OR449659.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI945,Germany,Homo sapiens,2022-06,8/22/2023
OR449660.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI946,Germany,Homo sapiens,2022-06,8/22/2023
OR449661.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI947,Germany,Homo sapiens,2022-06,8/22/2023
OR449662.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI948,Germany,Homo sapiens,2022-06,8/22/2023
OR449663.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI949,Germany,Homo sapiens,2022-06,8/22/2023
OR449664.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI950,Germany,Homo sapiens,2022-06,8/22/2023
OR449665.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI951,Germany,Homo sapiens,2022-06,8/22/2023
OR449666.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI952,Germany,Homo sapiens,2022-06,8/22/2023
OR449667.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.7,IIb,MPXV/Germany/2022/ON/RKI953,Germany,Homo sapiens,2022-06,8/22/2023
OR449668.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.5,IIb,MPXV/Germany/2022/ON/RKI954,Germany,Homo sapiens,2022-06,8/22/2023
OR449669.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI955,Germany,Homo sapiens,2022-06,8/22/2023
OR449670.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI956,Germany,Homo sapiens,2022-06,8/22/2023
OR449671.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI957,Germany,Homo sapiens,2022-06,8/22/2023
OR449672.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI958,Germany,Homo sapiens,2022-06,8/22/2023
OR449673.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI959,Germany,Homo sapiens,2022-06,8/22/2023
OR449674.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI960,Germany,Homo sapiens,2022-06,8/22/2023
OR449675.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI961,Germany,Homo sapiens,2022-06,8/22/2023
OR449676.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI962,Germany,Homo sapiens,2022-06,8/22/2023
OR449677.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI963,Germany,Homo sapiens,2022-06,8/22/2023
OR449678.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI964,Germany,Homo sapiens,2022-06,8/22/2023
OR449679.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.5,IIb,MPXV/Germany/2022/ON/RKI965,Germany,Homo sapiens,2022-06,8/22/2023
OR449680.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI966,Germany,Homo sapiens,2022-06,8/22/2023
OR449681.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI967,Germany,Homo sapiens,2022-06,8/22/2023
OR449682.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.8,IIb,MPXV/Germany/2022/ON/RKI968,Germany,Homo sapiens,2022-06,8/22/2023
OR449683.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI969,Germany,Homo sapiens,2022-06,8/22/2023
OR449684.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.7,IIb,MPXV/Germany/2022/ON/RKI970,Germany,Homo sapiens,2022-06,8/22/2023
OR449685.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI971,Germany,Homo sapiens,2022-06,8/22/2023
OR449686.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.5,IIb,MPXV/Germany/2022/ON/RKI972,Germany,Homo sapiens,2022-06,8/22/2023
OR449687.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.5,IIb,MPXV/Germany/2022/ON/RKI973,Germany,Homo sapiens,2022-06,8/22/2023
OR449688.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI974,Germany,Homo sapiens,2022-06,8/22/2023
OR449689.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI975,Germany,Homo sapiens,2022-06,8/22/2023
OR449690.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.1,IIb,MPXV/Germany/2022/ON/RKI976,Germany,Homo sapiens,2022-06,8/22/2023
OR449691.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI977,Germany,Homo sapiens,2022-06,8/22/2023
OR449692.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI978,Germany,Homo sapiens,2022-06,8/22/2023
OR449693.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI979,Germany,Homo sapiens,2022-06,8/22/2023
OR449694.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI980,Germany,Homo sapiens,2022-06,8/22/2023
OR449695.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI981,Germany,Homo sapiens,2022-06,8/22/2023
OR449696.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI982,Germany,Homo sapiens,2022-06,8/22/2023
OR449697.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI983,Germany,Homo sapiens,2022-06,8/22/2023
OR449698.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI984,Germany,Homo sapiens,2022-06,8/22/2023
OR449699.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.7,IIb,MPXV/Germany/2022/ON/RKI985,Germany,Homo sapiens,2022-06,8/22/2023
OR449700.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI986,Germany,Homo sapiens,2022-06,8/22/2023
OR449701.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI987,Germany,Homo sapiens,2022-06,8/22/2023
OR449702.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI988,Germany,Homo sapiens,2022-06,8/22/2023
OR449703.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI989,Germany,Homo sapiens,2022-06,8/22/2023
OR449704.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI990,Germany,Homo sapiens,2022-06,8/22/2023
OR449705.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.5,IIb,MPXV/Germany/2022/ON/RKI991,Germany,Homo sapiens,2022-06,8/22/2023
OR449706.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.14,IIb,MPXV/Germany/2022/ON/RKI992,Germany,Homo sapiens,2022-06,8/22/2023
OR449707.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.14,IIb,MPXV/Germany/2022/ON/RKI993,Germany,Homo sapiens,2022-06,8/22/2023
OR449708.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.14,IIb,MPXV/Germany/2022/ON/RKI994,Germany,Homo sapiens,2022-06,8/22/2023
OR449709.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI995,Germany,Homo sapiens,2022-06,8/22/2023
OR449710.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.3,IIb,MPXV/Germany/2022/ON/RKI996,Germany,Homo sapiens,2022-07,8/22/2023
OR449711.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.3,IIb,MPXV/Germany/2022/ON/RKI997,Germany,Homo sapiens,2022-07,8/22/2023
OR449712.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV/Germany/2022/ON/RKI998,Germany,Homo sapiens,2022-07,8/22/2023
OR449713.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.8,IIb,MPXV/Germany/2022/ON/RKI999,Germany,Homo sapiens,2022-07,8/22/2023
OR449714.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI1000,Germany,Homo sapiens,2022-07,8/22/2023
OR449715.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI1001,Germany,Homo sapiens,2022-07,8/22/2023
OR449716.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/Germany/2022/ON/RKI1002,Germany,Homo sapiens,2022-07,8/22/2023
